sweep,model,hardware,N,method,sweep_axis,sweep_value,n_seeds,F_mean,F_std,F_sem,E_inf_uJ_mean,E_inf_uJ_std
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M1,p,0.9,3,0.946,0.0024,0.0014,4.7391,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M1,p,1.0,3,0.9994,0.0002,0.0001,4.7391,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M2,p,0.0,3,0.7432,0.0069,0.004,4.7388,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M2,p,0.1,3,0.7142,0.016,0.0093,4.7388,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M2,p,0.25,3,0.7628,0.0385,0.0222,4.7388,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M2,p,0.4,3,0.7741,0.0244,0.0141,4.7388,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M2,p,0.5,3,0.8208,0.0217,0.0125,4.7388,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M2,p,0.6,3,0.8517,0.0173,0.01,4.7388,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M2,p,0.75,3,0.9042,0.0085,0.0049,4.7388,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M2,p,0.9,3,0.961,0.0011,0.0006,4.7388,0.0
p_scgan,SCGAN-Crossbar-4b,Crossbar-4b,5,M2,p,1.0,3,0.9989,0.0004,0.0002,4.7388,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M1,p,0.0,3,0.5073,0.0825,0.0476,17.7779,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M1,p,0.1,3,0.5165,0.0541,0.0313,17.7779,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M1,p,0.25,3,0.4089,0.1551,0.0895,17.7779,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M1,p,0.4,3,0.4385,0.0302,0.0175,17.7779,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M1,p,0.5,3,0.5644,0.0851,0.0491,17.7779,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M1,p,0.6,3,0.6387,0.0254,0.0147,17.7779,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M1,p,0.75,3,0.8339,0.051,0.0294,17.7779,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M1,p,0.9,3,0.9422,0.0132,0.0076,17.7779,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M1,p,1.0,3,0.9995,0.0001,0.0,17.7779,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M2,p,0.0,3,0.7428,0.0009,0.0005,17.7769,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M2,p,0.1,3,0.7118,0.0098,0.0057,17.7769,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M2,p,0.25,3,0.7402,0.0472,0.0273,17.7769,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M2,p,0.4,3,0.7831,0.0228,0.0132,17.7769,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M2,p,0.5,3,0.796,0.0095,0.0055,17.7769,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M2,p,0.6,3,0.845,0.0083,0.0048,17.7769,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M2,p,0.75,3,0.8997,0.0043,0.0025,17.7769,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M2,p,0.9,3,0.9632,0.0028,0.0016,17.7769,0.0
p_scgan,SCGAN-Crossbar-8b,Crossbar-8b,5,M2,p,1.0,3,0.9987,0.0011,0.0006,17.7769,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M1,p,0.0,3,0.4459,0.1063,0.0614,5.7201,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M1,p,0.1,3,0.4647,0.0752,0.0434,5.7201,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M1,p,0.25,3,0.4024,0.0826,0.0477,5.7201,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M1,p,0.4,3,0.4333,0.0419,0.0242,5.7201,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M1,p,0.5,3,0.5976,0.1517,0.0876,5.7201,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M1,p,0.6,3,0.6233,0.0199,0.0115,5.7201,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M1,p,0.75,3,0.8008,0.0265,0.0153,5.7201,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M1,p,0.9,3,0.9449,0.0041,0.0024,5.7201,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M1,p,1.0,3,0.9995,0.0001,0.0001,5.7201,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M2,p,0.0,3,0.7419,0.0025,0.0015,5.7163,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M2,p,0.1,3,0.7232,0.0085,0.0049,5.7163,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M2,p,0.25,3,0.7068,0.0204,0.0118,5.7163,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M2,p,0.4,3,0.7809,0.0227,0.0131,5.7163,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M2,p,0.5,3,0.8157,0.0074,0.0043,5.7163,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M2,p,0.6,3,0.8567,0.016,0.0092,5.7163,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M2,p,0.75,3,0.901,0.0083,0.0048,5.7163,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M2,p,0.9,3,0.9583,0.0046,0.0026,5.7163,0.0
p_scgan,SCGAN-Loihi,Loihi,5,M2,p,1.0,3,0.9985,0.0004,0.0003,5.7163,0.0
